Entry	Protein names	Gene Names	Organism
Q9VZN4	Dendritic arbor reduction protein 1	dar1 CG12029	Drosophila melanogaster (Fruit fly)
M9MRI4	E3 ubiquitin-protein ligase TRIM9 (EC 2.3.2.27) (Anomalies in sensory axon patterning protein) (asap) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif containing protein 9)	Trim9 CG31721	Drosophila melanogaster (Fruit fly)
O61307	Teneurin-m (Tenm) (Odd Oz protein) (Tenascin-like protein)	Ten-m odz CG5723	Drosophila melanogaster (Fruit fly)
P09208	Insulin-like receptor (dIR) (dInr) (dmIR) (EC 2.7.10.1) (Insulin receptor homolog) (dIRH) (Receptor protein-tyrosine kinase InR) [Cleaved into: Insulin-like receptor subunit alpha; Insulin-like receptor subunit beta 1 (Insulin-like receptor subunit beta 170 kDa form) (beta170); Insulin-like receptor subunit beta 2 (Insulin-like receptor subunit beta 90 kDa form) (beta90); 60 kDa C-terminal fragment (Insulin-like receptor free C-terminus)]	InR Dir-a Inr-a IR CG18402	Drosophila melanogaster (Fruit fly)
P10084	Achaete-scute complex protein T4 (Protein scute)	sc sis-b T4 CG3827	Drosophila melanogaster (Fruit fly)
P24014	Protein slit (dSlit) (Slit-FL) [Cleaved into: Protein slit N-product (Slit-N); Protein slit C-product (Slit-C)]	sli CG43758	Drosophila melanogaster (Fruit fly)
P31007	Disks large 1 tumor suppressor protein (Dlg)	dlg1 l(1)dlg1 CG1725	Drosophila melanogaster (Fruit fly)
P49415	Syndecan	Sdc Syd CG10497	Drosophila melanogaster (Fruit fly)
P98081	Protein disabled	Dab CG9695	Drosophila melanogaster (Fruit fly)
Q0E9H9	Cell adhesion molecule Dscam1 (Down syndrome cell adhesion molecule homolog)	Dscam1 Dscam p270 CG17800	Drosophila melanogaster (Fruit fly)
Q24322	Semaphorin-1A (Semaphorin-I) (Sema I)	Sema1a Dsema-I Sema-1a CG18405	Drosophila melanogaster (Fruit fly)
Q24323	Semaphorin-2A (Semaphorin-II) (Sema II)	Sema2a Sema-2a CG4700	Drosophila melanogaster (Fruit fly)
Q26263	Protein deadpan	dpn CG8704	Drosophila melanogaster (Fruit fly)
Q8I0P1	Spastin (EC 5.6.1.1) (D-Spastin) (Dm-Spastin) (Dspastin)	spas CG5977	Drosophila melanogaster (Fruit fly)
Q8IPW2	SH2/SH3 adapter protein dreadlocks	dock 2L19 dck Dm0447 doc Nck CG3727	Drosophila melanogaster (Fruit fly)
Q967D7	Protein turtle	tutl CG15427	Drosophila melanogaster (Fruit fly)
